"id","BK_id","Year","Price","Lost","Reason_for_Lost","DateIn"
"129","118","2014","330","FALSE",NULL,NULL
"130","119","2010","400","FALSE",NULL,NULL
"131","120","2003","450","FALSE",NULL,NULL
"132","121","2003","400","FALSE",NULL,NULL
"133","122","2010","400","FALSE",NULL,NULL
"134","123",NULL,"450","FALSE",NULL,NULL
"135","125","2004","350","FALSE",NULL,NULL
"136","126","2010","280","FALSE",NULL,NULL
"137","128","2003","300","FALSE",NULL,NULL
"138","129","2003","300","FALSE",NULL,NULL
"139","130","2003","348","FALSE",NULL,NULL
"140","36","2007","400","FALSE",NULL,NULL
"141","132","2018","349","FALSE",NULL,NULL
"142","133","2003","255","FALSE",NULL,NULL
"143","134","2018","320","FALSE",NULL,NULL
"144","135","2018","340","FALSE",NULL,NULL
"145","136","2018","377","FALSE",NULL,NULL
"146","137","2018","290","FALSE",NULL,NULL
"147","138","2018","400","FALSE",NULL,NULL
"148","139","2018","203","FALSE",NULL,NULL
"149","140","2018","284","FALSE",NULL,NULL
"150","141","2018","350","FALSE",NULL,NULL
"151","142","2018","320","FALSE",NULL,NULL
"152","143","2018","331","FALSE",NULL,NULL
"153","144","2018","260","FALSE",NULL,NULL
"154","145","2018","203","FALSE",NULL,NULL
"155","146","2018","385","FALSE",NULL,NULL
"156","147","2018","383","FALSE",NULL,NULL
"157","148","2018","290","FALSE",NULL,NULL
"158","150","2018","400","FALSE",NULL,NULL
"159","151","2018","325","FALSE",NULL,NULL
"160","153","2018","350","FALSE",NULL,NULL
"161","154","2018","353","FALSE",NULL,NULL
"162","155","2018","319","FALSE",NULL,NULL
"163","156","2018","321","FALSE",NULL,NULL
"164","21","2003",NULL,"FALSE",NULL,NULL
"165","159","2018","400","FALSE",NULL,NULL
"166","159","2018","400","FALSE",NULL,NULL
"167","159","2018","400","FALSE",NULL,NULL
"168","159","2018","400","FALSE",NULL,NULL
"169","159","2018","400","FALSE",NULL,NULL
"170","159","2018","400","FALSE",NULL,NULL
"171","159","2018","400","FALSE",NULL,NULL
"172","159","2018","400","FALSE",NULL,NULL
"173","159","2018","400","FALSE",NULL,NULL
"174","159","2018","400","FALSE",NULL,NULL
"175","158","2018","400","FALSE",NULL,NULL
"176","158","2018","400","FALSE",NULL,NULL
"177","158","2018","400","FALSE",NULL,NULL
"178","158","2018","400","FALSE",NULL,NULL
"179","158","2018","400","FALSE",NULL,NULL
"180","158","2018","400","FALSE",NULL,NULL
"181","158","2018","400","FALSE",NULL,NULL
"182","158","2018","400","FALSE",NULL,NULL
"183","158","2018","400","FALSE",NULL,NULL
"184","158","2018","400","FALSE",NULL,NULL
"185","164","2018","400","FALSE",NULL,NULL
"186","162","2018","400","FALSE",NULL,NULL
"187","161","2018","400","FALSE",NULL,NULL
"188","160","2018","400","FALSE",NULL,NULL
"189","165","2003","350","FALSE",NULL,NULL
"190","96",NULL,"60","FALSE",NULL,NULL
"191","167","2000","100","FALSE",NULL,NULL
"192","168","2016","100","FALSE",NULL,NULL
"193","33","2006",NULL,"FALSE",NULL,NULL
"194","50","2010","215","FALSE",NULL,NULL
"195","157","2018","310","FALSE",NULL,NULL
"196","169","2018","500","FALSE",NULL,NULL
"197","170","2018","500","FALSE",NULL,NULL
"198","171","2018","500","FALSE",NULL,NULL
"201","172","2018","500","FALSE",NULL,NULL
"202","173","2009","543","FALSE",NULL,"2019-01-03"
"203","173","2009","543","FALSE",NULL,"2019-01-03"
