"id","ClassRegisterID","Bal_bf","Uniform","uniform_no","Transport","Transport_months","Lunch","Lunch_months","OtherLevyIndv"
"94","131","-1350.00","0.00","400.00","900.00","1.50","0.00","0.00","-1350.00"
"95","132","800.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"96","133","900.00","0.00","400.00","0.00","0.00","0.00","0.00","0.00"
"98","134","0.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"99","135","4000.00","0.00","0.00","1300.00","3.00","600.00","3.00","0.00"
"100","136","-14200.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"101","137","1950.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"102","138","0.00","0.00","0.00","1300.00","3.00","600.00","3.00","0.00"
"103","139","2800.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"104","140","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"105","141","3950.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"106","142","0.00","0.00","0.00","700.00","3.00","600.00","3.00","50.00"
"107","143","1900.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"109","145","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"110","146","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"111","147","300.00","0.00","0.00","0.00","0.00","0.00","0.00","-1350.00"
"112","148","3600.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"113","149","300.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"114","150","650.00","0.00","2300.00","500.00","3.00","600.00","3.00","0.00"
"115","151","0.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"116","152","0.00","0.00","700.00","700.00","3.00","600.00","3.00","0.00"
"117","153","550.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"118","154","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"119","155","3600.00","0.00","0.00","500.00","3.00","600.00","3.00","0.00"
"120","156","900.00","0.00","1600.00","1100.00","3.00","600.00","3.00","0.00"
"121","157","3600.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"122","158","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"123","201","0.00","0.00","4400.00","2000.00","3.00","600.00","3.00","300.00"
"124","159","6400.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"125","160","2400.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"126","161","3700.00","0.00","0.00","0.00","0.00","600.00","0.00","0.00"
"127","162","2300.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"128","163","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"129","164","3750.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"130","165","1800.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"132","167","1900.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"134","169","1000.00","0.00","400.00","0.00","0.00","0.00","0.00","0.00"
"135","170","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"136","171","0.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"137","172","850.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"138","173","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"139","174","100.00","0.00","700.00","900.00","3.00","600.00","3.00","0.00"
"140","175","1500.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"141","176","4200.00","0.00","1400.00","0.00","0.00","600.00","3.00","0.00"
"142","177","1650.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"143","178","400.00","0.00","0.00","0.00","0.00","0.00","0.00","-2700.00"
"144","179","1250.00","0.00","0.00","700.00","3.00","0.00","0.00","0.00"
"145","180","1200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"146","181","0.00","0.00","1400.00","0.00","0.00","0.00","0.00","0.00"
"147","182","3200.00","0.00","0.00","900.00","1.50","600.00","0.00","-1350.00"
"148","183","100.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"149","184","200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"150","185","0.00","0.00","0.00","500.00","3.00","0.00","0.00","-1350.00"
"151","186","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"152","187","1900.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"153","188","500.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"154","189","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"155","190","2000.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"156","191","1000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"157","192","3400.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"159","194","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"160","196","0.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"161","197","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"163","199","2100.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"164","200","500.00","0.00","0.00","0.00","3.00","0.00","3.00","0.00"
"165","202","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"166","203","1200.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"168","205","2700.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"169","206","0.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"170","207","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1050.00"
"172","209","3150.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"173","210","900.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"174","211","100.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"175","212","700.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"176","213","0.00","0.00","0.00","500.00","3.00","0.00","0.00","-1350.00"
"177","214","-1050.00","0.00","0.00","900.00","1.00","0.00","0.00","250.00"
"178","215","3300.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"179","216","1250.00","0.00","0.00","800.00","3.00","600.00","3.00","0.00"
"180","217","300.00","0.00","2400.00","1100.00","3.00","600.00","3.00","0.00"
"181","218","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"182","219","2100.00","0.00","700.00","900.00","3.00","600.00","0.00","0.00"
"183","221","300.00","0.00","1100.00","0.00","0.00","600.00","3.00","0.00"
"184","222","700.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"185","223","450.00","0.00","0.00","1350.00","3.00","600.00","3.00","0.00"
"186","224","3200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"187","225","1500.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"189","226","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1050.00"
"190","227","2100.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"191","228","0.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00"
"192","229","0.00","0.00","0.00","1300.00","3.00","600.00","3.00","0.00"
"194","232","3400.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"195","233","3100.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"196","234","1550.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"197","235","3000.00","0.00","400.00","500.00","3.00","600.00","3.00","0.00"
"198","236","200.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"199","237","2600.00","0.00","0.00","1300.00","3.00","600.00","3.00","0.00"
"200","238","2100.00","0.00","700.00","700.00","3.00","600.00","3.00","0.00"
"201","239","1800.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"202","241","2000.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"203","240","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"204","242","4100.00","0.00","0.00","1300.00","3.00","600.00","3.00","0.00"
"205","243","0.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"206","244","2500.00","0.00","1400.00","1100.00","3.00","600.00","3.00","0.00"
"209","247","0.00","0.00","700.00","0.00","0.00","0.00","0.00","0.00"
"210","248","0.00","0.00","0.00","1350.00","3.00","600.00","3.00","0.00"
"212","250","2400.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"214","252","0.00","0.00","0.00","1100.00","3.00","600.00","0.00","0.00"
"215","253","1200.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"216","254","2300.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"217","255","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-2100.00"
"219","257","700.00","0.00","1600.00","0.00","0.00","600.00","3.00","0.00"
"220","258","0.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"221","259","2700.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"223","261","2200.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"224","262","450.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"228","266","2200.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"229","267","0.00","0.00","0.00","700.00","3.00","600.00","3.00","50.00"
"230","268","0.00","0.00","0.00","1350.00","3.00","600.00","3.00","0.00"
"231","269","3700.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"232","270","1100.00","0.00","0.00","700.00","3.00","600.00","3.00","100.00"
"234","311","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1050.00"
"235","271","0.00","0.00","0.00","700.00","0.00","600.00","0.00","0.00"
"236","272","3100.00","0.00","0.00","900.00","0.00","600.00","0.00","0.00"
"239","275","0.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"240","276","3900.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"243","279","1700.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"244","280","0.00","0.00","0.00","700.00","3.00","600.00","3.00","0.00"
"245","281","3050.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"246","282","1700.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"248","284","300.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"250","286","2500.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"251","287","1700.00","0.00","900.00","900.00","3.00","600.00","3.00","0.00"
"252","288","1800.00","0.00","0.00","900.00","3.00","600.00","3.00","0.00"
"253","289","0.00","0.00","0.00","1100.00","0.00","600.00","0.00","-1050.00"
"254","290","1750.00","0.00","0.00","1100.00","0.00","600.00","3.00","0.00"
"255","291","2900.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"257","293","-6200.00","0.00","0.00","1100.00","3.00","600.00","3.00","0.00"
"258","294","300.00","0.00","0.00","0.00","0.00","600.00","3.00","0.00"
"259","295","1000.00","0.00","400.00","0.00","0.00","0.00","0.00","0.00"
